,asset,assetAmount,value,date
40,WBTC-A,34093.0,768303400.96,2022-07-21-00-00-00-000000
41,WBTC-B,640.0,14433513.04,2022-07-21-00-00-00-000000
42,WBTC-C,5364.0,120886789.38,2022-07-21-00-00-00-000000
43,MANA-A,68345084.0,61759937.28,2022-07-21-00-00-00-000000
44,USDP-A,6237220.0,6237219.84,2022-07-21-00-00-00-000000
45,LINK-A,878302.0,5971929.89,2022-07-21-00-00-00-000000
46,YFI-A,58.0,371681.46,2022-07-21-00-00-00-000000
47,GUSD-A,392094.0,392093.89,2022-07-21-00-00-00-000000
48,UNI-A,77966.0,531197.82,2022-07-21-00-00-00-000000
49,RENBTC-A,355.0,8001321.4,2022-07-21-00-00-00-000000
50,MATIC-A,130864568.0,115734940.57,2022-07-21-00-00-00-000000
51,UNIV2DAIETH-A,1730.0,346841.68,2022-07-21-00-00-00-000000
52,UNIV2WBTCETH-A,0.00025942,527946.06,2022-07-21-00-00-00-000000
53,UNIV2USDCETH-A,0.04081832,6425023.3,2022-07-21-00-00-00-000000
54,UNIV2DAIUSDC-A,77.6048325,174794960.06,2022-07-21-00-00-00-000000
55,UNIV2WBTCDAI-A,0.00024175,14119.6,2022-07-21-00-00-00-000000
56,GUNIV3DAIUSDC1-A,750963.0,766321918.94,2022-07-21-00-00-00-000000
57,GUNIV3DAIUSDC2-A,3395361.0,686617545.6,2022-07-21-00-00-00-000000
58,CRVV1ETHSTETH-A,447.62431062,693064.4,2022-07-21-00-00-00-000000
59,RWA001-A,1.0,15913500.0,2022-07-21-00-00-00-000000
60,RWA002-A,1.0,22495725.0,2022-07-21-00-00-00-000000
61,RWA003-A,1.0,2359560.0,2022-07-21-00-00-00-000000
62,RWA004-A,1.0,8815730.0,2022-07-21-00-00-00-000000
63,RWA005-A,1.0,17199394.0,2022-07-21-00-00-00-000000
64,RWA006-A,0.0,0.0,2022-07-21-00-00-00-000000
65,USDC,3735956165.0,3733419450.763965,2022-07-21-00-00-00-000000
66,USDP,459834311.0,461213813.933,2022-07-21-00-00-00-000000
67,GUSD,56.0,56.112,2022-07-21-00-00-00-000000
68,ETH-A,509482.0,813795384.7,2022-07-22-00-00-00-000000
69,ETH-B,87027.0,139007797.79,2022-07-22-00-00-00-000000
70,ETH-C,967763.0,1545808437.75,2022-07-22-00-00-00-000000
71,WSTETH-A,131110.0,221922607.3,2022-07-22-00-00-00-000000
72,WSTETH-B,102083.0,172789455.14,2022-07-22-00-00-00-000000
73,USDC-A,227113187.0,227113186.98,2022-07-22-00-00-00-000000
74,WBTC-A,34093.0,800923413.4,2022-07-22-00-00-00-000000
75,WBTC-B,639.0,15022827.18,2022-07-22-00-00-00-000000
76,WBTC-C,5365.0,126027542.42,2022-07-22-00-00-00-000000
77,MANA-A,68345084.0,66086647.93,2022-07-22-00-00-00-000000
78,USDP-A,6237220.0,6237219.84,2022-07-22-00-00-00-000000
79,LINK-A,878302.0,6266306.76,2022-07-22-00-00-00-000000
80,YFI-A,58.0,388005.75,2022-07-22-00-00-00-000000
81,GUSD-A,392094.0,392093.89,2022-07-22-00-00-00-000000
82,UNI-A,77966.0,580066.9,2022-07-22-00-00-00-000000
83,RENBTC-A,355.0,8341035.11,2022-07-22-00-00-00-000000
84,MATIC-A,130864568.0,119012164.14,2022-07-22-00-00-00-000000
85,UNIV2DAIETH-A,1730.0,365155.85,2022-07-22-00-00-00-000000
86,UNIV2WBTCETH-A,0.00025942,555802.21,2022-07-22-00-00-00-000000
87,UNIV2USDCETH-A,0.04081832,6669196.77,2022-07-22-00-00-00-000000
88,UNIV2DAIUSDC-A,77.6048325,174795554.0,2022-07-22-00-00-00-000000
89,UNIV2WBTCDAI-A,0.00024175,14752.28,2022-07-22-00-00-00-000000
90,GUNIV3DAIUSDC1-A,750889.0,766251672.21,2022-07-22-00-00-00-000000
91,GUNIV3DAIUSDC2-A,3869203.0,782442177.93,2022-07-22-00-00-00-000000
92,CRVV1ETHSTETH-A,447.62431062,750526.55,2022-07-22-00-00-00-000000
93,RWA001-A,1.0,15913500.0,2022-07-22-00-00-00-000000
94,RWA002-A,1.0,22495725.0,2022-07-22-00-00-00-000000
95,RWA003-A,1.0,2359560.0,2022-07-22-00-00-00-000000
96,RWA004-A,1.0,8815730.0,2022-07-22-00-00-00-000000
97,RWA005-A,1.0,17199394.0,2022-07-22-00-00-00-000000
98,RWA006-A,0.0,0.0,2022-07-22-00-00-00-000000
99,USDC,3669161642.0,3676499965.284,2022-07-22-00-00-00-000000
100,USDP,459834311.0,465352322.732,2022-07-22-00-00-00-000000
101,GUSD,56.0,55.929328,2022-07-22-00-00-00-000000
102,ETH-A,509482.0,797191370.68,2022-07-23-00-00-00-000000
103,ETH-B,87206.0,136451617.7,2022-07-23-00-00-00-000000
104,ETH-C,967760.0,1514263955.23,2022-07-23-00-00-00-000000
105,WSTETH-A,131110.0,217124250.15,2022-07-23-00-00-00-000000
106,WSTETH-B,102083.0,169053443.17,2022-07-23-00-00-00-000000
107,USDC-A,227113187.0,227113186.98,2022-07-23-00-00-00-000000
108,WBTC-A,34085.0,784671794.12,2022-07-23-00-00-00-000000
109,WBTC-B,642.0,14783513.63,2022-07-23-00-00-00-000000
110,WBTC-C,5365.0,123497033.27,2022-07-23-00-00-00-000000
111,MANA-A,68345084.0,63426820.55,2022-07-23-00-00-00-000000
112,USDP-A,6237220.0,6237219.84,2022-07-23-00-00-00-000000
113,LINK-A,878302.0,6111442.77,2022-07-23-00-00-00-000000
114,YFI-A,58.0,381780.28,2022-07-23-00-00-00-000000
115,GUSD-A,392094.0,392093.89,2022-07-23-00-00-00-000000
116,UNI-A,77966.0,556573.77,2022-07-23-00-00-00-000000
117,RENBTC-A,355.0,8173555.33,2022-07-23-00-00-00-000000
118,MATIC-A,130864568.0,114122226.22,2022-07-23-00-00-00-000000
119,UNIV2DAIETH-A,1730.0,365155.85,2022-07-23-00-00-00-000000
120,UNIV2WBTCETH-A,0.00025942,555802.21,2022-07-23-00-00-00-000000
121,UNIV2USDCETH-A,0.04081832,6601037.66,2022-07-23-00-00-00-000000
122,UNIV2DAIUSDC-A,77.6048325,174795593.11,2022-07-23-00-00-00-000000
123,UNIV2WBTCDAI-A,0.00024175,14752.28,2022-07-23-00-00-00-000000
124,GUNIV3DAIUSDC1-A,750889.0,766251672.21,2022-07-23-00-00-00-000000
125,GUNIV3DAIUSDC2-A,3869203.0,782442177.93,2022-07-23-00-00-00-000000
126,CRVV1ETHSTETH-A,447.62431062,734300.92,2022-07-23-00-00-00-000000
127,RWA001-A,1.0,15913500.0,2022-07-23-00-00-00-000000
128,RWA002-A,1.0,22495725.0,2022-07-23-00-00-00-000000
129,RWA003-A,1.0,2359560.0,2022-07-23-00-00-00-000000
130,RWA004-A,1.0,8815730.0,2022-07-23-00-00-00-000000
131,RWA005-A,1.0,17199394.0,2022-07-23-00-00-00-000000
132,RWA006-A,0.0,0.0,2022-07-23-00-00-00-000000
133,USDC,3666076363.0,3652284583.722394,2022-07-23-00-00-00-000000
134,USDP,459834311.0,462593316.866,2022-07-23-00-00-00-000000
135,GUSD,56.0,55.921096,2022-07-23-00-00-00-000000
136,ETH-A,509340.0,770356671.29,2022-07-25-00-00-00-000000
137,ETH-B,87372.0,132146283.16,2022-07-25-00-00-00-000000
138,ETH-C,926784.0,1401723762.43,2022-07-25-00-00-00-000000
139,WSTETH-A,131414.0,210488096.61,2022-07-25-00-00-00-000000
140,WSTETH-B,102252.0,163777753.97,2022-07-25-00-00-00-000000
141,USDC-A,227112537.0,227112536.98,2022-07-25-00-00-00-000000
142,WBTC-A,33907.0,743042775.78,2022-07-25-00-00-00-000000
143,WBTC-B,635.0,13922509.3,2022-07-25-00-00-00-000000
144,WBTC-C,5576.0,122202789.94,2022-07-25-00-00-00-000000
145,MANA-A,68345084.0,62381338.21,2022-07-25-00-00-00-000000
146,USDP-A,6237220.0,6237219.84,2022-07-25-00-00-00-000000
147,LINK-A,878302.0,5962198.63,2022-07-25-00-00-00-000000
148,YFI-A,58.0,382758.74,2022-07-25-00-00-00-000000
149,GUSD-A,392094.0,392093.89,2022-07-25-00-00-00-000000
150,UNI-A,77966.0,552140.11,2022-07-25-00-00-00-000000
151,RENBTC-A,355.0,7775906.48,2022-07-25-00-00-00-000000
152,MATIC-A,130864568.0,107973083.5,2022-07-25-00-00-00-000000
153,UNIV2DAIETH-A,1730.0,420157.5,2022-07-25-00-00-00-000000
154,UNIV2WBTCETH-A,0.00025942,639460.61,2022-07-25-00-00-00-000000
155,UNIV2USDCETH-A,0.04081832,6501166.38,2022-07-25-00-00-00-000000
156,UNIV2DAIUSDC-A,77.6048325,174796374.57,2022-07-25-00-00-00-000000
157,UNIV2WBTCDAI-A,0.00024175,16652.35,2022-07-25-00-00-00-000000
158,GUNIV3DAIUSDC1-A,750515.0,765872747.22,2022-07-25-00-00-00-000000
159,GUNIV3DAIUSDC2-A,4547584.0,919633664.51,2022-07-25-00-00-00-000000
160,CRVV1ETHSTETH-A,447.62431062,709843.71,2022-07-25-00-00-00-000000
161,RWA001-A,1.0,15913500.0,2022-07-25-00-00-00-000000
162,RWA002-A,1.0,22495725.0,2022-07-25-00-00-00-000000
163,RWA003-A,1.0,2359560.0,2022-07-25-00-00-00-000000
164,RWA004-A,1.0,8815730.0,2022-07-25-00-00-00-000000
165,RWA005-A,1.0,17199394.0,2022-07-25-00-00-00-000000
166,RWA006-A,0.0,0.0,2022-07-25-00-00-00-000000
167,USDC,3630870460.0,3634501330.46,2022-07-25-00-00-00-000000
168,USDP,458127925.0,461334820.475,2022-07-25-00-00-00-000000
169,GUSD,56.0,56.28,2022-07-25-00-00-00-000000
170,ETH-A,504754.0,696000083.4,2022-07-26-00-00-00-000000
171,ETH-B,85895.0,118440185.5,2022-07-26-00-00-00-000000
172,ETH-C,926754.0,1277891467.88,2022-07-26-00-00-00-000000
173,WSTETH-A,131458.0,191956769.7,2022-07-26-00-00-00-000000
174,WSTETH-B,102294.0,149371884.61,2022-07-26-00-00-00-000000
175,USDC-A,227112537.0,227112536.98,2022-07-26-00-00-00-000000
176,WBTC-A,33906.0,709279360.34,2022-07-26-00-00-00-000000
177,WBTC-B,633.0,13247719.46,2022-07-26-00-00-00-000000
178,WBTC-C,5572.0,116559600.11,2022-07-26-00-00-00-000000
179,MANA-A,68345084.0,59194085.47,2022-07-26-00-00-00-000000
180,USDP-A,6237220.0,6237219.84,2022-07-26-00-00-00-000000
181,LINK-A,880933.0,5561782.18,2022-07-26-00-00-00-000000
182,YFI-A,58.0,383707.69,2022-07-26-00-00-00-000000
183,GUSD-A,392094.0,392093.89,2022-07-26-00-00-00-000000
184,UNI-A,77966.0,513328.02,2022-07-26-00-00-00-000000
185,RENBTC-A,355.0,7422623.27,2022-07-26-00-00-00-000000
186,MATIC-A,130864568.0,96598027.15,2022-07-26-00-00-00-000000
187,UNIV2DAIETH-A,1730.0,438489.26,2022-07-26-00-00-00-000000
188,UNIV2WBTCETH-A,0.00025942,667343.52,2022-07-26-00-00-00-000000
189,UNIV2USDCETH-A,0.04081832,6144418.54,2022-07-26-00-00-00-000000
190,UNIV2DAIUSDC-A,77.6048325,174796831.46,2022-07-26-00-00-00-000000
191,UNIV2WBTCDAI-A,0.00024175,17285.64,2022-07-26-00-00-00-000000
192,GUNIV3DAIUSDC1-A,751021.0,766389652.06,2022-07-26-00-00-00-000000
193,GUNIV3DAIUSDC2-A,4800574.0,970797647.43,2022-07-26-00-00-00-000000
194,CRVV1ETHSTETH-A,447.62431062,633387.11,2022-07-26-00-00-00-000000
195,RWA001-A,1.0,15913500.0,2022-07-26-00-00-00-000000
196,RWA002-A,1.0,22495725.0,2022-07-26-00-00-00-000000
197,RWA003-A,1.0,2359560.0,2022-07-26-00-00-00-000000
198,RWA004-A,1.0,8815730.0,2022-07-26-00-00-00-000000
199,RWA005-A,1.0,17199394.0,2022-07-26-00-00-00-000000
200,RWA006-A,0.0,0.0,2022-07-26-00-00-00-000000
201,USDC,3528980541.0,3522868346.702988,2022-07-26-00-00-00-000000
202,USDP,458117770.0,462240829.93,2022-07-26-00-00-00-000000
203,GUSD,56.0,55.9944,2022-07-26-00-00-00-000000
204,ETH-A,504990.0,744304264.58,2022-07-27-00-00-00-000000
205,ETH-B,88588.0,130570111.89,2022-07-27-00-00-00-000000
206,ETH-C,926833.0,1366058763.5,2022-07-27-00-00-00-000000
207,WSTETH-A,131870.0,208393034.92,2022-07-27-00-00-00-000000
208,WSTETH-B,102512.0,162000043.28,2022-07-27-00-00-00-000000
209,USDC-A,227112537.0,227112536.98,2022-07-27-00-00-00-000000
210,WBTC-A,34136.0,727183076.37,2022-07-27-00-00-00-000000
211,WBTC-B,654.0,13923411.12,2022-07-27-00-00-00-000000
212,WBTC-C,5330.0,113553195.0,2022-07-27-00-00-00-000000
213,MANA-A,68345084.0,60054824.89,2022-07-27-00-00-00-000000
214,USDP-A,6237220.0,6237219.84,2022-07-27-00-00-00-000000
215,LINK-A,880933.0,5586184.63,2022-07-27-00-00-00-000000
216,YFI-A,58.0,390533.14,2022-07-27-00-00-00-000000
217,GUSD-A,392094.0,392093.89,2022-07-27-00-00-00-000000
218,UNI-A,77966.0,530390.29,2022-07-27-00-00-00-000000
219,RENBTC-A,355.0,7572346.36,2022-07-27-00-00-00-000000
220,MATIC-A,130864568.0,105825158.85,2022-07-27-00-00-00-000000
221,UNIV2DAIETH-A,1730.0,456812.12,2022-07-27-00-00-00-000000
222,UNIV2WBTCETH-A,0.00025942,695212.89,2022-07-27-00-00-00-000000
223,UNIV2USDCETH-A,0.04081832,6355351.91,2022-07-27-00-00-00-000000
224,UNIV2DAIUSDC-A,77.59017739,174764762.61,2022-07-27-00-00-00-000000
225,UNIV2WBTCDAI-A,0.00024175,17918.62,2022-07-27-00-00-00-000000
226,GUNIV3DAIUSDC1-A,751041.0,766410452.62,2022-07-27-00-00-00-000000
227,GUNIV3DAIUSDC2-A,5053835.0,1022016847.18,2022-07-27-00-00-00-000000
228,CRVV1ETHSTETH-A,443.94251062,679812.6,2022-07-27-00-00-00-000000
229,RWA001-A,1.0,15913500.0,2022-07-27-00-00-00-000000
230,RWA002-A,1.0,22495725.0,2022-07-27-00-00-00-000000
231,RWA003-A,1.0,2359560.0,2022-07-27-00-00-00-000000
232,RWA004-A,1.0,8815730.0,2022-07-27-00-00-00-000000
233,RWA005-A,1.0,17199394.0,2022-07-27-00-00-00-000000
234,RWA006-A,0.0,0.0,2022-07-27-00-00-00-000000
235,USDC,3488851097.0,3483642242.312179,2022-07-27-00-00-00-000000
236,USDP,458093266.0,461299918.8619999,2022-07-27-00-00-00-000000
237,GUSD,56.0,56.0,2022-07-27-00-00-00-000000
238,ETH-A,505455.0,830533044.74,2022-07-28-00-00-00-000000
239,ETH-B,85399.0,140322019.28,2022-07-28-00-00-00-000000
240,ETH-C,927277.0,1523645955.46,2022-07-28-00-00-00-000000
241,WSTETH-A,131690.0,225634463.21,2022-07-28-00-00-00-000000
242,WSTETH-B,102515.0,175646668.25,2022-07-28-00-00-00-000000
243,USDC-A,227112537.0,227112536.98,2022-07-28-00-00-00-000000
244,WBTC-A,34134.0,788813858.4,2022-07-28-00-00-00-000000
245,WBTC-B,619.0,14297095.5,2022-07-28-00-00-00-000000
246,WBTC-C,5350.0,123629191.32,2022-07-28-00-00-00-000000
247,MANA-A,68345084.0,65262851.41,2022-07-28-00-00-00-000000
248,USDP-A,6237220.0,6237219.84,2022-07-28-00-00-00-000000
249,LINK-A,880933.0,6035077.09,2022-07-28-00-00-00-000000
250,YFI-A,58.0,428766.46,2022-07-28-00-00-00-000000
251,GUSD-A,392094.0,392093.89,2022-07-28-00-00-00-000000
252,UNI-A,77966.0,664972.08,2022-07-28-00-00-00-000000
253,RENBTC-A,353.0,8162072.66,2022-07-28-00-00-00-000000
254,MATIC-A,130864568.0,114498264.13,2022-07-28-00-00-00-000000
255,UNIV2DAIETH-A,1730.0,475128.41,2022-07-28-00-00-00-000000
256,UNIV2WBTCETH-A,0.00025942,723072.27,2022-07-28-00-00-00-000000
257,UNIV2USDCETH-A,0.04081832,6714950.81,2022-07-28-00-00-00-000000
258,UNIV2DAIUSDC-A,77.59017739,174765366.93,2022-07-28-00-00-00-000000
259,UNIV2WBTCDAI-A,0.00024175,18551.37,2022-07-28-00-00-00-000000
260,GUNIV3DAIUSDC1-A,751041.0,766410591.45,2022-07-28-00-00-00-000000
261,GUNIV3DAIUSDC2-A,5053835.0,1022026793.84,2022-07-28-00-00-00-000000
262,CRVV1ETHSTETH-A,443.94251062,737043.32,2022-07-28-00-00-00-000000
263,RWA001-A,1.0,15913500.0,2022-07-28-00-00-00-000000
264,RWA002-A,1.0,22495725.0,2022-07-28-00-00-00-000000
265,RWA003-A,1.0,2359560.0,2022-07-28-00-00-00-000000
266,RWA004-A,1.0,8815730.0,2022-07-28-00-00-00-000000
267,RWA005-A,1.0,17199394.0,2022-07-28-00-00-00-000000
268,RWA006-A,0.0,0.0,2022-07-28-00-00-00-000000
269,USDC,3542045991.0,3549130082.982,2022-07-28-00-00-00-000000
270,USDP,458111500.0,461776392.0,2022-07-28-00-00-00-000000
271,GUSD,56.0,56.392,2022-07-28-00-00-00-000000
272,ETH-A,506018.0,874186739.69,2022-07-29-00-00-00-000000
273,ETH-B,85612.0,147901933.01,2022-07-29-00-00-00-000000
274,ETH-C,924381.0,1596941401.25,2022-07-29-00-00-00-000000
275,WSTETH-A,131281.0,238660614.64,2022-07-29-00-00-00-000000
276,WSTETH-B,101741.0,184957655.12,2022-07-29-00-00-00-000000
277,USDC-A,227112537.0,227112536.98,2022-07-29-00-00-00-000000
278,WBTC-A,33861.0,811318151.54,2022-07-29-00-00-00-000000
279,WBTC-B,619.0,14823828.69,2022-07-29-00-00-00-000000
280,WBTC-C,5600.0,134168170.65,2022-07-29-00-00-00-000000
281,MANA-A,68345084.0,69532416.61,2022-07-29-00-00-00-000000
282,USDP-A,6237220.0,6237219.84,2022-07-29-00-00-00-000000
283,LINK-A,880933.0,6828555.69,2022-07-29-00-00-00-000000
284,YFI-A,58.0,517909.51,2022-07-29-00-00-00-000000
285,GUSD-A,392094.0,392093.89,2022-07-29-00-00-00-000000
286,UNI-A,77966.0,700259.0,2022-07-29-00-00-00-000000
287,RENBTC-A,353.0,8462779.52,2022-07-29-00-00-00-000000
288,MATIC-A,130864568.0,128566579.55,2022-07-29-00-00-00-000000
289,UNIV2DAIETH-A,1730.0,475128.41,2022-07-29-00-00-00-000000
290,UNIV2WBTCETH-A,0.00025942,723072.27,2022-07-29-00-00-00-000000
291,UNIV2USDCETH-A,0.03981832,6663631.06,2022-07-29-00-00-00-000000
292,UNIV2DAIUSDC-A,77.59017739,174765982.55,2022-07-29-00-00-00-000000
293,UNIV2WBTCDAI-A,0.00024175,18551.37,2022-07-29-00-00-00-000000
294,GUNIV3DAIUSDC1-A,751006.0,766375702.98,2022-07-29-00-00-00-000000
295,GUNIV3DAIUSDC2-A,5050888.0,1021433678.12,2022-07-29-00-00-00-000000
296,CRVV1ETHSTETH-A,443.94251062,768957.4,2022-07-29-00-00-00-000000
297,RWA001-A,1.0,15913500.0,2022-07-29-00-00-00-000000
298,RWA002-A,1.0,22495725.0,2022-07-29-00-00-00-000000
299,RWA003-A,1.0,2359560.0,2022-07-29-00-00-00-000000
300,RWA004-A,1.0,8815730.0,2022-07-29-00-00-00-000000
301,RWA005-A,1.0,17199394.0,2022-07-29-00-00-00-000000
302,RWA006-A,0.0,0.0,2022-07-29-00-00-00-000000
303,USDC,3528186819.0,3512698078.86459,2022-07-29-00-00-00-000000
304,USDP,457837664.0,461500365.312,2022-07-29-00-00-00-000000
305,GUSD,56.0,55.328896,2022-07-29-00-00-00-000000
306,ETH-A,506365.0,867641296.64,2022-07-30-00-00-00-000000
307,ETH-B,85896.0,147180518.67,2022-07-30-00-00-00-000000
308,ETH-C,925030.0,1585011434.71,2022-07-30-00-00-00-000000
309,WSTETH-A,131360.0,236786018.17,2022-07-30-00-00-00-000000
310,WSTETH-B,101820.0,183537415.43,2022-07-30-00-00-00-000000
311,USDC-A,227112537.0,227112536.98,2022-07-30-00-00-00-000000
312,WBTC-A,33862.0,828956456.3,2022-07-30-00-00-00-000000
313,WBTC-B,629.0,15402937.79,2022-07-30-00-00-00-000000
314,WBTC-C,5578.0,136558896.87,2022-07-30-00-00-00-000000
315,MANA-A,68345084.0,71197817.16,2022-07-30-00-00-00-000000
316,USDP-A,6237220.0,6237219.84,2022-07-30-00-00-00-000000
317,LINK-A,880933.0,6988445.11,2022-07-30-00-00-00-000000
318,YFI-A,58.0,670793.53,2022-07-30-00-00-00-000000
319,GUSD-A,392094.0,392093.89,2022-07-30-00-00-00-000000
320,UNI-A,77966.0,690449.12,2022-07-30-00-00-00-000000
321,RENBTC-A,353.0,8646371.45,2022-07-30-00-00-00-000000
322,MATIC-A,130864568.0,124846932.88,2022-07-30-00-00-00-000000
323,UNIV2DAIETH-A,1730.0,511845.98,2022-07-30-00-00-00-000000
324,UNIV2WBTCETH-A,0.00025942,778920.29,2022-07-30-00-00-00-000000
325,UNIV2USDCETH-A,0.03981832,6696918.82,2022-07-30-00-00-00-000000
326,UNIV2DAIUSDC-A,77.59017739,174767665.93,2022-07-30-00-00-00-000000
327,UNIV2WBTCDAI-A,0.00024175,19819.81,2022-07-30-00-00-00-000000
328,GUNIV3DAIUSDC1-A,751006.0,766376342.59,2022-07-30-00-00-00-000000
329,GUNIV3DAIUSDC2-A,5052907.0,1021845184.77,2022-07-30-00-00-00-000000
330,CRVV1ETHSTETH-A,443.94251062,775372.54,2022-07-30-00-00-00-000000
331,RWA001-A,1.0,15913500.0,2022-07-30-00-00-00-000000
332,RWA002-A,1.0,22495725.0,2022-07-30-00-00-00-000000
333,RWA003-A,1.0,2359560.0,2022-07-30-00-00-00-000000
334,RWA004-A,1.0,8815730.0,2022-07-30-00-00-00-000000
335,RWA005-A,1.0,17199394.0,2022-07-30-00-00-00-000000
336,RWA006-A,0.0,0.0,2022-07-30-00-00-00-000000
337,USDC,3534806712.0,3532265185.974072,2022-07-30-00-00-00-000000
338,USDP,457849688.0,461054635.8159999,2022-07-30-00-00-00-000000
339,GUSD,56.0,55.484128,2022-07-30-00-00-00-000000
340,ETH-A,506357.0,854663332.47,2022-07-31-00-00-00-000000
341,ETH-B,85896.0,144981323.61,2022-07-31-00-00-00-000000
342,ETH-C,923257.0,1558335725.08,2022-07-31-00-00-00-000000
343,WSTETH-A,131360.0,233197445.79,2022-07-31-00-00-00-000000
344,WSTETH-B,100829.0,178997416.14,2022-07-31-00-00-00-000000
345,USDC-A,227112537.0,227112536.98,2022-07-31-00-00-00-000000
346,WBTC-A,33862.0,798720437.06,2022-07-31-00-00-00-000000
347,WBTC-B,629.0,14841294.06,2022-07-31-00-00-00-000000
348,WBTC-C,5597.0,132025411.46,2022-07-31-00-00-00-000000
349,MANA-A,68345084.0,69103790.5,2022-07-31-00-00-00-000000
350,USDP-A,6237220.0,6237219.84,2022-07-31-00-00-00-000000
351,LINK-A,880933.0,6926964.76,2022-07-31-00-00-00-000000
352,YFI-A,51.0,600615.54,2022-07-31-00-00-00-000000
353,GUSD-A,392094.0,392093.89,2022-07-31-00-00-00-000000
354,UNI-A,77966.0,683448.15,2022-07-31-00-00-00-000000
355,RENBTC-A,353.0,8331095.21,2022-07-31-00-00-00-000000
356,MATIC-A,130864568.0,126577052.23,2022-07-31-00-00-00-000000
357,UNIV2DAIETH-A,1730.0,511845.98,2022-07-31-00-00-00-000000
358,UNIV2WBTCETH-A,0.00025942,778920.29,2022-07-31-00-00-00-000000
359,UNIV2USDCETH-A,0.03981832,6667790.91,2022-07-31-00-00-00-000000
360,UNIV2DAIUSDC-A,77.59017739,174767773.28,2022-07-31-00-00-00-000000
361,UNIV2WBTCDAI-A,0.00024175,19819.81,2022-07-31-00-00-00-000000
362,GUNIV3DAIUSDC1-A,741975.0,757159830.76,2022-07-31-00-00-00-000000
363,GUNIV3DAIUSDC2-A,5052907.0,1021845184.77,2022-07-31-00-00-00-000000
364,CRVV1ETHSTETH-A,443.94251062,766433.5,2022-07-31-00-00-00-000000
365,RWA001-A,1.0,15913500.0,2022-07-31-00-00-00-000000
366,RWA002-A,1.0,22495725.0,2022-07-31-00-00-00-000000
367,RWA003-A,1.0,2359560.0,2022-07-31-00-00-00-000000
368,RWA004-A,1.0,8815730.0,2022-07-31-00-00-00-000000
369,RWA005-A,1.0,17199394.0,2022-07-31-00-00-00-000000
370,RWA006-A,0.0,0.0,2022-07-31-00-00-00-000000
371,USDC,3526491119.0,3526082046.030196,2022-07-31-00-00-00-000000
372,USDP,457830600.0,460577583.6,2022-07-31-00-00-00-000000
373,GUSD,56.0,55.450416,2022-07-31-00-00-00-000000
